Unnamed: 0,song_name,artist_name,a_age,time,dob,age
0.0,Like Ice Spice,Blaqbonez,1996-01-29,02:03,,
1.0,Defender,Frankie Jay,,02:04,,
2.0,Ngozi ,Crayon,,03:41,,
3.0,Sharpally,Young Jonn,1995-02-16,02:43,,
4.0,Lonely At The Top,Asake,1995-01-13,02:37,,
5.0,Honey,Zuchu,,02:19,,
6.0,Babylon ,Patoranking,1990-05-27,02:57,,
7.0,Mahaba,Alikiba,,03:16,,
8.0,Sele ,Mbosso,1991-10-03,04:12,,
9.0,Alone (Speed Up),Neeja,,01:20,,
10.0,Jara,Khaid,2004-12-10,02:40,,
11.0,Ebenezer (Live) ,Nathaniel Bassey,1981-08-27,08:31,,
12.0,Aje,Badwolf,2005-06-11,03:10,,
13.0,Ole ,Qing Madi,,02:51,,
14.0,Anabella,Khaid,2004-12-10,02:04,,
15.0,Break Up,Oladapo,,03:02,,
16.0,Gaza,Olamide,1989-03-15,02:14,,
17.0,san siro (remix) ,YKB,,03:27,,
18.0,Ex Convict,Shallipopi,,03:22,,
19.0,Do I,Phyno,1986-10-09,02:35,,
20.0,N4U,Eltee Skhillz,,02:29,,
21.0,Unleash ,Poco Lee,,02:21,,
22.0,VIBRATION,derriq,,03:06,,
23.0,Obapluto,Shallipopi,,02:50,,
24.0,So Bad,Boy Spyce,,03:01,,
25.0,Alone,Neeja,,03:23,,
26.0,Karma,Seyi Vibez,1990-07-12,02:34,,
27.0,Ogaranya,Adekunle Gold,1987-01-28,02:48,,
28.0,Man of The Year,Seyi Vibez,1990-07-12,02:24,,
29.0,Basquiat,Asake,1995-01-13,02:14,,
30.0,FEEL,Davido,1992-11-21,02:34,,
31.0,Dejavu,Seyi Vibez,1990-07-12,02:41,,
32.0,B'Ola (Honour),Sunmisola Agbebi,1998-05-02,05:24,,
33.0,Joy in Chaos,Holy drill,,01:10,,
34.0,Elon musk,Shallipopi,,03:15,,
35.0,Ride for U ,Victorano,,03:00,,
36.0,DECLAN RICE,ODUMODUBLVCK,,02:04,,
37.0,Terminator,King Promise,,03:54,,
38.0,Wonder,Mercy Chinwo,1991-09-05,03:54,,
39.0,reason,Omah Lay,1997-05-19,02:27,,
40.0,Mogbe,Asake,1995-01-13,02:59,,
41.0,Joha,Asake,1995-01-13,02:28,,
42.0,Normal,Burna Boy,1991-07-02,02:04,,
43.0,Hollow,Mercy Chinwo,1991-09-05,03:58,,
44.0,My Baby (feat. Chike),Diamond Platnumz,,03:32,,
45.0,Hat-trick,Seyi Vibez,1990-07-12,02:40,,
46.0,Dog Eat Dog,ODUMODUBLVCK,,02:29,,
47.0,OVER DEM,Davido,1992-11-21,03:18,,
48.0,UNAVAILABLE ,Davido,1992-11-21,02:49,,
49.0,Olorun,Asake,1995-01-13,02:36,,
50.0,Dull,Asake,1995-01-13,01:40,,
51.0,soso,Omah Lay,1997-05-19,03:03,,
52.0,Aquafina,Young Jonn,1995-02-16,02:48,,
53.0,PICANTO ,ODUMODUBLVCK,,03:04,,
54.0,On Form,Burna Boy,1991-07-02,03:43,,
55.0,City Boys,Burna Boy,1991-07-02,02:33,,
56.0,Ahead Ahead,Shallipopi,,03:32,,
57.0,2:30,Asake,1995-01-13,02:18,,
58.0,Terminator,Asake,1995-01-13,02:35,,
59.0,I Told Them ,Burna Boy,1991-07-02,03:09,,
60.0,One Side (Remix) [with Mayorkun & Tekno],Iyanya,1986-10-31,03:18,,
61.0,TOBECHUKWU ,Nathaniel Bassey,1981-08-27,08:07,,
62.0,Bullion Van,Seyi Vibez,1990-07-12,02:35,,
63.0,AWAY,Davido,1992-11-21,02:33,,
64.0,Charm,Rema,,03:24,,
65.0,NO COMPETITION ,Davido,1992-11-21,02:36,,
66.0,Speedometer,Shallipopi,,03:33,,
67.0,Kristy,Ruger,,04:20,,
68.0,GoodSin,Olivetheboy,,02:20,,
69.0,"Tested, Approved & Trusted",Burna Boy,1991-07-02,03:40,,
70.0,We Up ,Balloranking,,03:44,,
71.0,Sunshine,Asake,1995-01-13,03:05,,
72.0,I Will Pray,Ebuka Songs,,02:50,,
73.0,Ototo,Asake,1995-01-13,02:36,,
74.0,Hushpuppi,Seyi Vibez,1990-07-12,02:42,,
75.0,Still Sober ,Aguero Banks,,03:46,,
76.0,i'm a mess,Omah Lay,1997-05-19,02:33,,
77.0,What's Poppin ,Stefflon Don,1991-12-14,03:15,,
78.0,Stay High,Juice WRLD,1998-12-02,02:48,,
79.0,FOR THE ROAD,Davido,1992-11-21,02:27,,
80.0,Darling ,Seyi Vibez,1990-07-12,02:55,,
81.0,Common Person,Burna Boy,1991-07-02,03:30,,
82.0,KANTE ,Davido,1992-11-21,03:14,,
83.0,Ojapiano,Kcee,,02:48,,
84.0,Nzaza,Asake,1995-01-13,03:03,,
85.0,Big 7,Burna Boy,1991-07-02,02:23,,
86.0,Spending,Johnny Drille,1990-07-05,02:46,,
87.0,JELO ,Pheelz,1994-06-05,02:25,,
88.0,Jinja,Olamide,1989-03-15,02:35,,
89.0,A1 (Feeling Disorder),Zinoleesky,,02:05,,
90.0,For My Hand ,Burna Boy,1991-07-02,02:39,,
91.0,Amapiano ,Asake,1995-01-13,02:45,,
92.0,Organise,Asake,1995-01-13,02:03,,
93.0,E PAIN ME,Davido,1992-11-21,03:03,,
94.0,Billion Dollar,Seyi Vibez,1990-07-12,02:24,,
95.0,Cheat On Me ,Burna Boy,1991-07-02,03:42,,
96.0,Many Things,Zinoleesky,,02:47,,
97.0,Sungba (Remix) ,Asake,1995-01-13,03:30,,
98.0,Water,Tyla,,03:20,,
99.0,DOG EAT DOG II ,ODUMODUBLVCK,,04:00,,
100.0,Bad Influence,Omah Lay,1997-05-19,02:18,,
101.0,Para Boi,Seyi Vibez,1990-07-12,02:37,,
102.0,All My Life ,Lil Durk,1992-10-19,03:43,,
103.0,Amazing God,Mercy Chinwo,1991-09-05,04:56,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01,30.0
,Ololufe ,WizKid,,03:30,1990-07-16,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
